kana	english	common	part
もんだい	problem, question	問題	n.
たとえば	for example, such as	例えば	adv.
め，め	eye  彼女は目が大きい。 — She has big eyes.	目，眼	n.
ころ	time, about, when	頃	n.
うえ	top; above; up; on	上	n.
てくださる	[do something as a favor (honorific)]	てくださる	cp.
た	other, another; else	他	n.
いつ	when	いつ	pron.
いえ	house, home	家	n.
つく	stick; be stained with	付く	v.
ひ,ひ	day; sun	日, 陽	n.
だす	take out; pay; send	出す	v.
いちひと	one person; alone	一人	n.
にんげん	human being, man	人間	n.
どこ	where	どこ	pron.
ございます(<ござる)	[very polite form of “de aru”]	ございます (<ござる)	v.
じかん	time  もう行く時間だ。 — It’s time to go.	時間	n.
ただ	just	ただ	conj.
だから	so, therefore, because	だから	conj.
ちがう	be different; be wrong	違う	v.
うける	get, receive, take	受ける	v.
ことば	word; language	言葉	n.
なんか	such as, like	なんか	p.
すこし	a little, a few  少し疲れました。 — I’m a bit tired.	少し	adv.
まま	as it is	まま	adv.
かう	buy  彼は車を買った。 — He bought a car.	買う	v.
まだ	yet, still  まだ雨が降っている。 — It is still raining.	まだ	n.
て	hand	手	n.
はなす	talk, tell, speak	話す	v.
すき	favorite, like, love	好き	na-adj.
かえる	return	返る	v.
てもらう	[receive a favor]	てもらう	cp.
かける	hang; take; cost	掛ける	v.
おわる	end, finish	終わる	v.
いみ(する)	meaning, sense	意味(する)	n.
のである	ASSERTION (formal)	のである	cp.
いろんな	various	いろんな	adn.
つける	put; attach; apply	付ける	v.
かたち	form, shape, figure	形	n.
かなり	considerably, rather	かなり	adv.
さん	three	三	n.
さいしょ	first	最初	n.
ま	distance; period	間	n.
かんじる	feel  空腹を感じる。 — I feel hungry.	感じる	v.
しか	only, just, no more than	しか	p.
かかる	hang; take; cost	かかる	v.
おおきな	big, large, great	大きな	adn.
すむ	live  私は東京に住んでいる。 — I live in Tokyo.	住む	v.
さいきん	recently, lately  私は最近忙しい。 — I’ve been busy recently.	最近	n.
とくに	especially, particularly	特に	adv.
だれ	who, whose, whom	誰	pron.
こんな	such, like that	こんな	adn.
ともだち	friend  彼は私の友達です。 — He is a friend of mine.	友達	n.
おおきい	big, large, great	大きい	i-adj.
すぐ	soon	すぐ	adv.
いっしょ	together, with	一緒	n.
せいかつ(する)	life	生活(する)	n.
くに	country	国	n.
あげる	raise, lift	あげる	v.
あなた,あんた	you	あなた, あんた	pron.
げんざい	present time, now	現在	n.
たかい	high, tall; expensive	高い	i-adj.
なんて	[expresses belittlement]	なんて	p.
わるい	bad  気分が悪い。 — I feel sick.	悪い	i-adj.
きもち	feeling	気持ち	n.
のる	ride, get on, take	乗る	v.
において	at; in; on	において	cp.
みえる	see, be seen	見える	v.
かわる	change	変わる	v.
べし	must, should	べし	aux.
あるいは	or; perhaps, probably, maybe	あるいは	conj.
たいへん	serious, terrible; hard, difficult	大変	na-adj.
による	be due to, be based on	による	cp.
かいしゃ	company, firm	会社	n.
ほとんど	almost, nearly	ほとんど	adv.
じっさい	actually, in fact	実際	n.
せんせい	teacher	先生	n.
かのじょ	she; girlfriend	彼女	pron.
にひと	two people	二人	n.
こころ	mind, heart; thought; feeling	心	n.
あの	that, those	あの	adn.
らしい	seem, look	らしい	aux.
ある	one, a, some, a certain	ある	adn.
きむ	money	金	n.
かお	face	顔	n.
ていただく	[receive a favor	ていただく	cp.
ずっと	all the time, for a long time	ずっと	adv.
さらに	again, still more, moreover	さらに	adv.
まち，まち	town, city	町，街	n.
および	and, as well as	及び	conj.
たくさん	many, much	たくさん	adv.
いー	good, great  いー、これ。 — This is great.	いー	interj.
だいたい	almost, nearly	大体	adv.
もちろん	of course, needless  to say	もちろん	adv.
よむ	read	読む	v.
ひとたち	people	人たち	n.
きょう	today  今日は金曜日です。 — It’s Friday today.	今日	n.
むかし	ancient times, in the past, once	昔	n.
うん	yes, yeah	うん	interj.
すべて	everything, all	すべて	n.
おしえる	teach, tell	教える	v.
こ	child	子	n.
ておく	do something in advance, in preparation for something	ておく	cp.
にたいして	to, toward; for; against	に対して	cp.
ばかり	only, just, almost	ばかり	p.
なぜ	why	なぜ	adv.
みず	water	水	n.
とうじ	then, at that time	当時	n.
ばしょ	place, spot, position	場所	n.
おく	put, place; leave	置く	v.
たのしい	pleasant, happy, enjoyable	楽しい	i-adj.
にとって	for	にとって	cp.
こえ	voice	声	n.
ふつう	normal, regular, ordinary, common	普通	na-adj.
のこる	remain, be left	残る	v.
さいご	last, end	最後	n.
くるま	car; wheel	車	n.
はじめて	for the first time, first	初めて	adv.
こんど	this time, next time	今度	n.
からだ	body	体	n.
わたしいたる	we	私達	pron.
つよい	strong, powerful	強い	i-adj.
まったく	entirely, completely; (not) at all	全く	adv.
よぶ	call タクシーを呼んでください。 — Please call a taxi for me.	呼ぶ	v.
けっきょく	after all, in the end, finally	結局	adv.
あるく	walk	歩く	v.
おとこ	man, male  彼は男の中の男だ。 — He is a real ma	男	n.
じょせい	woman, female	女性	n.
がっこう	school	学校	n.
いきる	live	生きる	v.
なかなか	very, quite;	なかなか	adv.
さき	end, front	先	n.
もっと	more	もっと	adv.
ことができる	can,  be able to	ことができる	cp.
テーマ	theme, subject	テーマ	n.
せかい	world	世界	n.
じょうたい	state, conditions	状態	n.
と	well, erm (abbreviation of “eeto”)	と	interj.
もし	if, in case	もし	adv.
ぜんぜん	(not) at all; utterly, completely	全然	adv.
のむ	drink	飲む	v.
あたらしい	new, fresh	新しい	i-adj.
の	disc. EMOTION/QUESTION  どうして泣いてるの。 — Why are you crying?	の	p.
はやい	early, soon	早い	i-adj.
あう	meet, see	会う	v.
アメリカ	America  アメリカは大きい。 — America is big.	アメリカ	n.
あれ	that  あれは誰の車ですか。 — Whose car is that?	あれ	pron.
ちいさい	small, little, tiny	小さい	i-adj.
あいて	companion; partner	相手	n.
はは	mother	母	n.
いじょう	more than; mentioned above; since	以上	n.
かんけい	relationship, connection	関係	n.
よん	four	四	n.
たぶん	probably, perhaps, maybe	たぶん	adv.
みせ	store, shop	店	n.
どんな	what, what kind of	どんな	adn.
あたま	head	頭	n.
でんわ(する)	(tele)phone, call	電話(する)	n.
ながい	long  彼女は髪が長い。 — Her hair is long.	長い	i-adj.
ことになる	it happens that ... , it is decided that	ことになる	cp.
ほん	book 彼はよく本を読んでいる。 — He often reads books.	本	n.
どの	which, what	どの	adn.
こちら	this place, here; this way; this	こちら	pron.
いわゆる	what is called, what you call, so-called	いわゆる	adn.
わ	disc. EXCLAMATION  まあ、きれいだわ。 — How beautiful it is!	わ	p.
よる	night, evening	夜	n.
べつ	separate, different	別	na-adj.
もの	person, people	者	n.
タイトル	title	タイトル	n.
おや	parent	親	n.
なまえ	name	名前	n.
ぜんぶ	all, whole, entire	全部	adv.
みなさん	everybody, everyone 皆さん、こんばんは。 — Good evening, everyone.	皆さん	n.
により	by; with; depending on	により	cp.
きれい	beautiful, pretty; clean	きれい	na-adj.
たつ	stand  立ってください。 — Please stand u	立つ	v.
まいにち	every day	毎日	adv.
ために	for	ために	cp.
おいしい	delicious, tasty	おいしい	i-adj.
または	or	または	conj.
かぞく	family	家族	n.
にたいする	to; for; against	に対する	cp.
ぶぶん	part, section	部分	n.
いちど	once	一度	n.
けっか	result 調査の結果を報告します。 — I’m going to report the results of the investigatio	結果	n.
じゃ	well, so, then  じゃ、また明日。 — So, see you tomorrow.	じゃ	conj.
じょうきょう	state of affairs, situation	状況	n.
じだい	time, era	時代	n.
すくない	a little, a few	少ない	i-adj.
た	another, other	他	n.
うまい	delicious, tasty; good at	うまい	i-adj.
おぼえる	learn, remember, memorize	覚える	v.
とうきょう	Tokyo	東京	n.
てある	[describes a state resulting from someone’s action]	てある	cp.
つづく	continue, go on, last	続く	v.
における	in	における	cp.
おれ	I (used by male speakers)	俺	pron.
うまれる	be born	生まれる	v.
ちち	father	父	n.
たしか	sure, certain, reliable ; ,	確か	adv.; na-adj.
それぞれ	each	それぞれ	n.
ほうほう	way, method	方法	n.
はず	ought to, should	はず	n.
せつめい(する)	explanation	説明(する)	n.
なければいけない	must, have to, need to	なければいけない	cp.
へや	room	部屋	n.
ちょうど	just, exactly	ちょうど	adv.
とうぜん	,	当然	adv.
だいがく	university, college	大学	n.
ですから	so, therefore	ですから	conj.
み	truth, true, real	実	n.
あさ	morning	朝	n.
どんどん	rapidly, fast, soon	どんどん	adv.
える	get, obtain	得る	v.
とにかく	anyway, regardless	とにかく	adv.
えらぶ	choose, select	選ぶ	v.
おもしろい	interesting; fun; funny	面白い	i-adj.
もどる	return, go back	戻る	v.
べんきょう(する)	study	勉強(する)	n.
やめる	stop, give up  彼は煙草をやめた。 — He gave up smoking.	やめる	v.
した	under; below; down; low	下	n.
はじめる	start, begin	始める	v.
まわり	circumference; surroundings, neighborhood, around	まわり	n.
いぬ	dog	犬	n.
かならず	always, certainly, surely	必ず	adv.
のこす	leave	残す	v.
だいじ	important, serious	大事	na-adj.
うれしい	glad, happy	嬉しい	i-adj.
ちから	power, strength  彼は力が強い。 — He is strong.	力	n.
あそぶ	play	遊ぶ	v.
わかい	young	若い	i-adj.
りゆう	reason	理由	n.
おんな	woman, female	女	n.
かんたん	easy	簡単	na-adj.
はじまる	start, begin	始まる	v.
しぬ	die  人間はいつかは死ぬ。 — All men must die.	死ぬ	v.
こんかい	this time	今回	n.
にかんする	be concerned with, be related to	に関する	cp.
じんせい	life	人生	n.
とおり	street; as	通り	n.
ないよう	contents	内容	n.
テレビ	television, TV	テレビ	n.
けいけん(する)	experience	経験(する)	n.
き	wood; tree	木	n.
てん	point, score	点	n.
しぜん	nature ;  natural	自然	n.; na-adj.
おと	sound, noise	音	n.
うみ	sea, ocean	海	n.
いちおう	at first glance; at least,  just	一応	adv.
あたえる	give, present	与える	v.
りよう(する)	use, utilization	利用(する)	n.
はたらく	work	働く	v.
いちはい	,	一杯	n.
ちかく	near, nearby	近く	n.
つまり	in short, that is to say, after all	つまり	adv.
とも	with, together	共	n.
そんざい(する)	existence	存在(する)	n.
ぜったい	,	絶対	n.
にっぽんじん	Japanese	日本人	n.
たいせつ	important	大切	na-adj.
あし	foot; leg	足	n.
きる	cut	切る	v.
はしる	run	走る	v.
まつ	wait	待つ	v.
しゃしん	picture, photo	写真	n.
こどもたち	children	子供たち	n.
だんだん	gradually, more and more, less and less	だんだん	adv.
ふたつ	two  リンゴを二つ買った。 — I bought two apples.	二つ	n.
たのしむ	enjoy, have a good time	楽しむ	v.
ご	five	五	n.
おおく	many, most	多く	n.
ねる	sleep; lie down, go to bed	寝る	v.
えいご	English language  英語が話せますか。 — Can you speak English?	英語	n.
きめる	decide, fix	決める	v.
わすれる	forget  忘れないでください。 — Don’t forget.	忘れる	v.
くち	mouth	口	n.
おくる	send; spend (time)	送る	v.
すがた	figure, shape, appearance  最近彼の姿を見ない。 — I have seen nothing of him lately.	姿	n.
なくなる	disappear; be gone	なくなる	v.
じき	time, period, season	時期	n.
ぎゃく	,	逆	n.
がんばる	do one’s best  頑張ります。 — I’ll do my best.	頑張る	v.
しめす	show	示す	v.
こそ	EMPHATIC	こそ	p.
ひとびと	people	人々	n.
みち	way, road	道	n.
ゆうめい	famous, well-known	有名	na-adj.
てもいい	(I) don’t mind if	てもいい	cp.
おもい	thought, mind, heart	思い	n.
しかも	moreover, besides	しかも	conj.
むずかしい	difficult, hard	難しい	i-adj.
かれら	they	彼ら	pron.
やま	mountain	山	n.
ていど	degree, grade, level, limit	程度	n.
でない	COPULA (NEGATIVE)	でない	cp.
ねがう	wish, ask, pray	願う	v.
すでに	already, before	すでに	adv.
しょうわ	Showa era	昭和	n.
むかう	face; go (toward, in the direction of)	向かう	v.
つれる	take somebody, accompany	連れる	v.
かえる	change	変える	v.
えいきょう(する)	influence	影響(する)	n.
びょういん	hospital, clinic	病院	n.
とし	year; age	年	n.
はな	flower	花	n.
もとめる	ask for, request, demand	求める	v.
じょうほう	information	情報	n.
もらう	get, have, receive	もらう	v.
ゆうじん	friend	友人	n.
だめ	useless, hopeless, impossible	だめ	na-adj.
たつ	pass, go by	経つ	v.
さきほど	a short while ago	先程	n.
いちかい	once	一回	n.
じゅうぶん	enough, sufficient	十分	na-adj.
ちいさな	small, little, tiny	小さな	adn.
ひらく	open; bloom; hold	開く	v.
むじんとう	uninhabited island	無人島	n.
つづける	continue, keep up, go on	続ける	v.
じゅうよう	important	重要	na-adj.
といった	like, such as	といった	cp.
あたる	hit, bump, touch; guess right, win ボールが頭に当たった。 — The ball hit my head.	当たる	v.
ちかい	near, close	近い	i-adj.
けっこん(する)	marriage	結婚(する)	n.
みとめる	recognize, acknowledge, admit, approve, accept	認める	v.
これら	these	これら	pron.
れきし	history  歴史は繰り返す 。 — History repeats itself.	歴史	n.
ふえる	increase, gain	増える	v.
おんがく	music	音楽	n.
なければならない	must	なければならない	cp.
そと	outside	外	n.
すすむ	to go forward, make progress	進む	v.
おきる	get up; wake; happen	起きる	v.
いや	,	嫌	n.
えき	station	駅	n.
いや	No	いや	interj.
はい	yes; all right	はい	interj.
えいが	movie	映画	n.
み	body, oneself; position	身	n.
きゃく	guest, visitor; customer	客	n.
しつもん(する)	question	質問(する)	n.
ふくむ	contain, include	含む	v.
ちいき	region, area	地域	n.
わが	my, our, one’s	我が	adn.
どうしても	by all means,  at any cost, no matter what, after all	どうしても	adv.
のに		のに	p.
むすめ	daughter  娘が二人います。 — I have two daughters.	娘	n.
みせる	show	見せる	v.
いちひ	a day, the day, one day	一日	n.
ことし	this year  今年の夏は暑い。 — It is hot this summer.	今年	n.
へいせい	Heisei era	平成	n.
ず	drawing, figure, diagram	図	n.
しょうかい(する)	introduction	紹介(する)	n.
あわせる	join, add up; adjust	合わせる	v.
やすい	low, cheap	安い	i-adj.
ゆめ	dream	夢	n.
つらい	hard, difficult, painful	つらい	i-adj.
きてい(する)	regulations, stipulations	規定(する)	n.
どちら	where; which; who	どちら	pron.
ちゅうしん	center	中心	n.
おこる	happen, occur, take place	起こる	v.
われわれ	we	我々	pron.
(お)かあさん	mother, Mom	(お)母さん	n.
たてる	stand, set up, put up	立てる	v.
もっとも	most, extremely	最も	adv.
いろ	color	色	n.
さがす	look for, search for, seek	探す	v.
ちゃんと	exactly, regularly, properly	ちゃんと	adv.
きょうみ	interest	興味	n.
みっつ	three	三つ	n.
てほしい	want/ask someone to do	てほしい	cp.
いただく	get, receive (humble) 読者から手紙を頂いた。 — I received a letter from a reader.	いただく	v.
うる	sell	売る	v.
へんか(する)	change	変化(する)	n.
いんしょう	impression	印象	n.
さくひん	work, production	作品	n.
でございます	be (formal)  恐れ入りますが満室でございます。 — I’m afraid all our rooms are fully booked.	でございます	cp.
さんか(する)	participation	参加(する)	n.
なつ	summer	夏	n.
よる	be due to	よる	v.
りかい(する)	understanding	理解(する)	n.
じけん	incident, event	事件	n.
ちゅうごく	China	中国	n.
ずつ	each,... by ...母親は子供にキャンディを一つずつあげた。	ずつ	p.
ははおや	mother	母親	n.
とりあえず	for the time being; at once	取り敢えず	adv.
ところが	however	ところが	conj.
もくてき	purpose	目的	n.
さまざま	various, all kinds of	様々	na-adj.
こたえる	answer, respond	答える	v.
すごす	spend, live	過ごす	v.
あがる	go up, rise; end;  get nervous	上がる	v.
いっぽう	one side	一方	n.
びょうき	sickness, illness	病気	n.
しんぱい(する)	anxiety, worry, care ;  anxious, worried	心配(する)	n.; na-adj.
それでも	but, still	それでも	conj.
いめーじ(する)	image	イメージ(する)	n.
わらい	laugh, laughter	笑い	n.
ごご	afternoon,	午後	n.
のち	after, later, since	後	n.
うごく	move; work (machine)	動く	v.
しゅじん	shop owner; husband	主人	n.
くわえる	add, include	加える	v.
こまる	have difficulty, be in trouble	困る	v.
とれる	come off; be removed	取れる	v.
かんきょう	environment	環境	n.
たいおう(する)	correspondence, response	対応(する)	n.
くらべる	compare, contrast  いろいろな店で値段を比べた。 — I	比べる	v.
こうこう	high school	高校	n.
しょくじ(する)	meal	食事(する)	n.
ひく	pull, draw, lead; subtract	引く	v.
あたり	region, area around	辺	n.
ようするに	in short, to sum up	要するに	conj.
はなれる	separate; leave; be away from	離れる	v.
ひ	fire	火	n.
じっし(する)	operation	実施(する)	n.
こんご	in the future, from now on	今後	adv.
しゃかい	society	社会	n.
れんしゅう(する)	practice, training	練習(する)	n.
しよう(する)	use	使用(する)	n.
こえる	cross over, go over	越える	v.
はかる	attempt; plan; strive	図る	v.
きぎょう	company, business	企業	n.
やつ	guy, fellow	奴	n.
はっきり	clearly, certainly	はっきり	adv.
こわい	frightening, scary; terrified	怖い	i-adj.
れい	example	例	n.
え	picture, painting	絵	n.
おもいだす	remember	思い出す	v.
にかんして	about, regarding, concerning	に関して	cp.
さけ	alcohol, sake, rice wine	酒	n.
げんいん	cause	原因	n.
おまえ	you (colloquial)	お前	n.
まもる	protect, defend; keep, obey 彼女は約束を守った。 — She kept her promise.	守る	v.
しょうがっこう	elementary school, primary school	小学校	n.
まわる	spin, turn, go around;  go via	回る	v.
ひろい	wide, broad, large	広い	i-adj.
ねこ	cat  猫を飼っている。 — We have a cat.	猫	n.
むこう	other side; over there	向こう	n.
どうじ	simultaneous, at the same time	同時	n.
しらべる	investigate; look up; examine; check	調べる	v.
のぼる	go up, rise; reach	のぼる	v.
ろく	. six	六	num
のみ	only, merely  彼のみが知っている。 — Only he knows.	のみ	p.
むける	turn, point	向ける	v.
おちる	fall, drop  彼ははしごから落ちた。 — He fell from a ladder.	落ちる	v.
だが	but, however	だが	conj.
きまる	be decided	決まる	v.
おこす	wake; raise; cause	起こす	v.
ば	field; place; occasion	場	n.
いずれ	anyway, sooner or later	いずれ	adv.
ホテル	hotel	ホテル	n.
たいしょう	object, target, subject	対象	n.
うつ	hit, strike, beat	打つ	v.
いぜん	before, formerly	以前	n.
おっと	husband	夫	n.
かくにん(する)	confirmation	確認(する)	n.
かず		数	n.
いけん	opinion, idea  自分の意見を言う。 — I express my opinio	意見	n.
わりと	comparatively, rather	割と	adv.
だいじょうぶ	safe, all right	大丈夫	na-adj.
かよう	attend, go to, commute	通う	v.
もうしあげる	tell, say (humble)	申し上げる	v.
かのうせい	possibility	可能性	n.
のべる	describe, say, state	述べる	v.
ぜひ	by all means, please; definitely, certainly	是非	adv.
さえ	even; besides; if only	さえ	p.
さんひと	three people  兄弟が三人いる。 — I have three brothers.	三人	n.
りょうり(する)	cooking, dish	料理(する)	n.
いちぶ	part	一部	n.
きっと	surely, certainly	きっと	adv.
どうして	why	どうして	adv.
うたう	sing  歌うことが大好きです。 — I love singing!	歌う	v.
なお	more, still	なお	adv.
いくつ	how many, how old	幾つ	n.
ぞ	disc. EMPHASIS	ぞ	p.
ほしい	want, desire	ほしい	i-adj.
しんぶん	newspaper  新聞を読む。 — I read a newspaper.	新聞	n.
きづく	notice, become aware	気付く	v.
うた	song	歌	n.
あける	open	開ける	v.
たがい	each other	互い	n.
きる	put on, wear 彼女は着物を着ている。 — She is wearing  a kimono.	着る	v.
ちがい		違い	
しっかり	hard, tight	しっかり	adv.
よぎる	pass, exceed	過ぎる	v.
きおく(する)	memory	記憶(する)	n.
おもいで	memory, reminiscence	思い出	n.
しばらく	for a while, a minute, for a long time	しばらく	adv.
きほんてき	basic, fundamental	基本的	na-adj.
しがつ	April	四月	n.
きみ	you	君	n.
わらう	laugh; smile  みな大声で笑った。 — They laughed loudly.	笑う	v.
いくら	how much, however	いくら	adv.
さかな	fish  魚を焼く。 — I grill a fish.	魚	n.
りょこう(する)	journey, travel	旅行(する)	n.
ちちおや	father	父親	n.
どれ	which	どれ	pron.
みつける	find, look for	見付ける	v.
かかわる	concern, affect, be involved	関わる	v.
むり	unreasonable, impossible; compulsory	無理	na-adj.
けんこう	health	健康	n.
あじ	flavor, taste	味	n.
ふかい	deep  深い池だ。 — It is a deep pond.	深い	i-adj.
つたえる	tell; deliver; hand down	伝える	v.
じゆう	freedom, liberty	自由	n.
あつまる	gather, crowd	集まる	v.
せんそう	war  戦争に反対する。 — We are against war.	戦争	n.
ながれる	flow, float, pass	流れる	v.
だんせい		男性	
でんしゃ	train  電車に乗った。 — I got on the trai	電車	n.
すすめる	advance, move forward	進める	v.
ふくめる	include, add	含める	v.
いたす	do (humble)  どういたしましょうか。 — How shall I do it?	致す	v.
つく	arrive, reach  東京に着いた。 — We arrived in Tokyo.	着く	v.
きびしい	strict, hard  彼は厳しい先生です。 — He is a strict teacher.	厳しい	i-adj.
おんなのこ	girl	女の子	n.
パソコン	personal computer	パソコン	n.
おる	be, exist (humble)	おる	v.
かつどう(する)	activity	活動(する)	n.
ふあん	anxiety, concern	不安	n.
さんじゅうぶん	thirty minutes	三十分	n.
かぎり	limit	限り	n.
いらっしゃる	come, go (honorific); be (honorific)	いらっしゃる	v.
かのう	possible  それは可能ですか。 — Is it possible?	可能	na-adj.
かわいい	cute, nice, lovely	可愛い	i-adj.
さい	when, in case of	際	n.
とちゅう	on the way; in the  middle of	途中	n.
けんきゅう(する)	research, study	研究(する)	n.
ようす	state of affairs, situation; appearance	様子	n.
ものすごい	terrible	ものすごい	i-adj.
あう	fit, suit, agree	合う	v.
すむ	end, finish	済む	v.
とおる	pass, go along	通る	v.
おとな		大人	
きたい(する)	expectation	期待(する)	n.
じじつ	fact, actuality	事実	n.
せい	fault, cause for blame, because of	せい	n.
いちとし	one year  一年が過ぎた。 — One year has passed.	一年	n.
いったい	,	一体	n.
しま	island	島	n.
えがく	draw; describe	描く	v.
おどろく	be surprised	驚く	v.
